"habitat","status","Coral_mean","Halimeda_mean","Mollusc_mean","Foraminifera_mean","Crustacea_mean","Echinoderms_mean","Soft coral_mean","CCA_mean","Other_mean","framework_mean","Coral_sd","Halimeda_sd","Mollusc_sd","Foraminifera_sd","Crustacea_sd","Echinoderms_sd","Soft coral_sd","CCA_sd","Other_sd","framework_sd"
"lagoon","low",59.33967249,6.93092475166667,7.70440545733333,9.886825776,1.456951245,1.46927737166667,0.645222806666667,7.525159404,5.04156069333333,66.8648319,8.04939686370805,6.53673025895531,2.45369545701908,8.44564976564995,1.42686509878565,1.00787252165989,0.587853330962001,0.228280637901311,0.468538164190339,8.17358222005896
"lagoon","high",66.6443704966667,9.12121097966667,5.98126031266667,3.25837766033333,0.922386587333333,0.825450290333333,2.256464914,6.85389037066667,4.13658838866667,73.49826087,7.5083996850512,6.04181393277137,1.5796194447195,0.964412109275697,0.542017818737434,0.643509078633918,2.53961539881267,0.572100346366778,0.51446208284693,6.94610162544285
"shallow","low",67.93642182,4.40756422366667,8.91462883366667,4.02361650233333,1.283654938,1.487947159,1.67159083266667,6.87415116233333,3.40042452933333,74.81057298,13.2466938424977,3.87506802223815,3.78309475347055,1.12643373568107,0.348378738659306,0.449709624431474,0.660163896424257,2.99528346352413,2.02349120220658,10.5220241012104
"shallow","high",66.26999606,10.7648600383333,5.081499343,3.26207706733333,1.155888954,0.792955753,6.24679025333333,4.830014703,1.595917824,71.1000107666667,4.96417879972336,8.61265413445766,0.370798920777112,1.89777469138613,1.24576223788704,0.49899140736206,5.32577085344283,5.50136985101826,1.42047783902557,9.20322331663052
"deep","low",73.3226554066667,7.68466944,6.52319990933333,3.86010252566667,0.722786562,0.544486402,2.25725197566667,3.04791372833333,2.03693405,76.3705691366667,7.62599426845208,12.0765437680338,0.423168215007897,2.3365118313969,0.752924006001874,0.262754357734068,1.71825607894733,0.873794549529615,1.08514787031881,7.80090935273154
"deep","high",65.2598786466667,15.3111765973333,6.60286878166667,3.34929642766667,0.934792889666667,0.450094077,4.21161867233333,2.45111457633333,1.42915932866667,67.7109932233333,15.4586335936868,15.4776725925347,2.301811916951,0.783204535532452,0.660591641923399,0.271482979336521,1.10654022706541,1.63693573316546,1.20372026851142,15.4773817878678
